﻿NUM_REG;NOMBRE_COMERCIAL;TELEFONO;CALLE;PROVINCIA;LOCALIDAD;MUNICIPIO;CODIGO_POSTAL;NUMERO
24-E1-00038;CASTAÑEDA MARTINEZ, MARIA SALOME;987760358;CALLE MAYOR;LEON;TORAL DE LOS GUZMANES;TORAL DE LOS GUZMANES;24237;27
24-E1-00042;PORTILLO GARCIA PINTOS, MARTA;;CALLE JUAN FERRERAS;LEON;LEON;LEÓN;24004;8
24-E1-00044;TERRON GARCIA, CESAR;;PLAZA MAYOR;LEON;CACABELOS;CACABELOS;24540;7
24-E1-00046;MARCOS PASTRANA, MARIA JOSE;;AVDA  PADRE ISLA;LEON;LEON;LEÓN;;46
24-E1-00050;DIEZ ALVAREZ, MARIA;987660004;AVDA  REY GUNDERICO;LEON;CASTROCONTRIGO;CASTROCONTRIGO;24735;37
24-E1-00052;ALVAREZ GONZALEZ, MARIA VICTORIA;987701021;CALLE PADRE ISLA;LEON;CISTIERNA;CISTIERNA;24800;40
24-E1-00054;FERNANDEZ GARCIA, LEOCADIA;;PLAZA PICARA JUSTINA;LEON;LEON;LEÓN;24004;S/N
24-E1-00061;GRAGERA PINILLA, JORGE;;PLAZA ESPOLON;LEON;LEON;LEÓN;24007;2
24-E1-00062;GONZALEZ FERNANDEZ, BEATRIZ / GONZALEZ FERNANDEZ, MARTA;;CALLE DAOIZ Y VELARDE;LEON;LEON;LEÓN;24006;16
24-E1-00069;RUIZ NARGANES, PIEDAD;987357220;AVDA  AVENIDA PUENTE DE HIERRO;LEON;CARRIZO DE LA RIBERA;CARRIZO;24270;37
24-E1-00070;GUTIERREZ GONZALEZ, ALEJANDRA / GUTIERREZ ALONSO, VICENTE;987701264;CALLE PADRE ISLA;LEON;CISTIERNA;CISTIERNA;24800;10
24-E1-00075;VAZQUEZ MONDELO, MARIA DEL PILAR;;CALLE JORGE DE MONTEMAYOR;LEON;LEON;LEÓN;24007;19
24-E1-00080;OJEMBARRENA CASASECA, LUCIA;;CALLE PIO DE CELA;LEON;VEGUELLINA DE ORBIGO;VILLAREJO DE ÓRBIGO;24350;17
24-E1-00081;SIERRA LLANOS, MARIA PAZ;;CALLE BARAHONA;LEON;LEON;LEÓN;24003;3
24-E1-00085;LOPEZ MERAYO, JORGE;;CALLE BULEVAR JUAN CARLOS I REY DE ESPAÑA;LEON;PONFERRADA;PONFERRADA;;6
24-E1-00092;YSART ALVAREZ DE TOLEDO, SONSOLES;;AVDA  AVENIDA DE LA PUEBLA;LEON;PONFERRADA;PONFERRADA;24400;31
24-E1-00096;NISTAL RODRIGUEZ, LUIS / RODRIGUEZ DE PRADA, CONSUELO;;CALLE MATADERO VIEJO;LEON;VILLAMAÑAN;VILLAMAÑÁN;;S/N
24-E1-00097;MOLDES FERNANDEZ, VICTOR MANUEL;;AVDA  PARADASECA;LEON;VILLAFRANCA DEL BIERZO;VILLAFRANCA DEL BIERZO;24500;1
24-E1-00098;MORONTA CARRETERO, TRANSITO;;CALLE SAN ROQUE;LEON;GORDONCILLO;GORDONCILLO;;3
24-E1-00100;GARCIA VEGA, EMMA;;AVDA  PADRE ISLA;LEON;LEON;LEÓN;;54
24-E1-00105;MARTIN VILLARES, MARIA CARMEN;;CALLE CAMPILLO (EL);LEON;TORENO;TORENO;24450;33
24-E1-00108;JIMENEZ RODRIGUEZ, ROSA;;CALLE GENERAL GOMEZ NUÑEZ;LEON;PONFERRADA;PONFERRADA;24400;12
24-E1-00109;GAMERO MARTIN GRANIZO, ANA CRISTINA;;AVDA  CONDESA SAGASTA;LEON;LEON;LEÓN;24001;32
24-E1-00110;ZABALA HERRERO, ANA MARIA;;CTRA  NACIONAL VI;LEON;VEGA DE VALCARCE;VEGA DE VALCARCE;;0
24-E1-00113;TOME OTERO, MANUEL ANTONIO;;AVDA  CONSTITUCION (LA);LEON;VILLABLINO;VILLABLINO;24100;6
24-E1-00120;CARRASCO ARIAS-ARGUELLO, ANTONIO;987371402;CALLE CONDE LUNA;LEON;BENAVIDES DE ORBIGO;BENAVIDES;24280;28
24-E1-00121;VAZQUEZ GONZALEZ, JOSE LUIS;;AVDA  CONSTITUCION (LA);LEON;SAHAGUN;SAHAGÚN;24320;20
24-E1-00122;HOYOS GONZALEZ, ANA MARIA;;AVDA  CONSTITUCION (LA);LEON;BARRIO ESTACION;MATALLANA DE TORÍO;24223;50
24-E1-00123;GONZALEZ SANTOS, MARIA CARMEN ROSARIO;;PLAZA MAYOR;LEON;SANTA MARIA DEL PARAMO;SANTA MARÍA DEL PÁRAMO;24240;14
24-E1-00126;JAUREGUI OYARZABAL, MARIA ARANZAZU;987644446;CALLE VIA DE LA PLATA;LEON;BAÑEZA (LA);BAÑEZA, LA;24750;51
