GERENCIA;NOMBRE GERENCIA;CS;CENTRO;CONSULTORIO
1705;Gerencia de Palencia;170503;C.S. CARRION DE LOS CONDES;C.L. ITERO SECO
1702;Gerencia de Burgos;170204;C.S. BELORADO;C.L. VILLAGALIJO
1703;Gerencia de León;170309;C.S. BAÑEZA II;C.L. NAVIANOS DE LA VEGA
1702;Gerencia de Burgos;170205;C.S. BRIVIESCA;C.L. CORNUDILLA
1705;Gerencia de Palencia;170503;C.S. CARRION DE LOS CONDES;C.L. TORRE DE LOS MOLINOS
1702;Gerencia de Burgos;170205;C.S. BRIVIESCA;C.L. HERRERA DE VALDIVIELSO
1703;Gerencia de León;170309;C.S. BAÑEZA II;C.L. QUINTANILLA DE FLOREZ
1702;Gerencia de Burgos;170205;C.S. BRIVIESCA;C.L. PIERNIGAS
1705;Gerencia de Palencia;170503;C.S. CARRION DE LOS CONDES;C.L. VILLASABARIEGO DE UCIEZA
1702;Gerencia de Burgos;170205;C.S. BRIVIESCA;C.L. PINO DE BUREBA
1703;Gerencia de León;170309;C.S. BAÑEZA II;C.L. ROBLEDO DE LA VALDUERNA
1702;Gerencia de Burgos;170205;C.S. BRIVIESCA;C.L. QUINTANILLA SAN GARCIA
1705;Gerencia de Palencia;170505;C.S. FROMISTA;C.L. POBLACION DE CAMPOS
1702;Gerencia de Burgos;170205;C.S. BRIVIESCA;C.L. SANTA OLALLA DE BUREBA
1703;Gerencia de León;170309;C.S. BAÑEZA II;C.L. VILLALIS DE LA VALDUERNA
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. CELADILLA SOTOBRIN
1705;Gerencia de Palencia;170505;C.S. FROMISTA;C.L. TAMARA DE CAMPOS
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. MIÑON
1703;Gerencia de León;170311;C.S. LA MAGDALENA;C.L. BENLLERA
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. QUINTANILLA VIVAR
1705;Gerencia de Palencia;170507;C.S. HERRERA DE PISUERGA;C.L. DEHESA DE ROMANOS
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. RUBENA
1703;Gerencia de León;170311;C.S. LA MAGDALENA;C.L. LOS BARRIOS DE LUNA
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. SAN JUAN DE ORTEGA
1705;Gerencia de Palencia;170507;C.S. HERRERA DE PISUERGA;C.L. NOGALES DE PISUERGA
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. TERRADILLOS DE SEDANO
1703;Gerencia de León;170311;C.S. LA MAGDALENA;C.L. OTERO DE LAS DUEÑAS
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. VILLASUR DE HERREROS
1705;Gerencia de Palencia;170510;C.S. OSORNO;C.L. HIJOSA DE BOEDO
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. VILLATORO
1703;Gerencia de León;170311;C.S. LA MAGDALENA;C.L. SANTIAGO DE LAS VILLAS
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. CARCEDO DE BURGOS
1705;Gerencia de Palencia;170510;C.S. OSORNO;C.L. VILLAPROVEDO
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. CARDEÑAJIMENO
1703;Gerencia de León;170311;C.S. LA MAGDALENA;C.L. TAPIA DE LA RIBERA
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. IBEAS DE JUARROS
1705;Gerencia de Palencia;170511;C.S. PALENCIA RURAL;C.L. MAGAZ DE PISUERGA
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. MODUBAR DE LA CUESTA
1703;Gerencia de León;170312;C.S. ERAS DE RENUEVA;C.L. NAVATEJERA
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. SARRACIN
1705;Gerencia de Palencia;170512;C.S. PAREDES DE NAVA;C.L. VILLANUEVA DEL REBOLLAR
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. VILLACIENZO
1703;Gerencia de León;170312;C.S. ERAS DE RENUEVA;C.L. PEDRUN DE TORIO
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. VILLANGOMEZ
1705;Gerencia de Palencia;170514;C.S. SALDAÑA;C.L. BARRIOSUSO DE VALDAVIA
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. VILLARMENTERO
1703;Gerencia de León;170316;C.S. JOSE AGUADO I;C.S. JOSE AGUADO I
1702;Gerencia de Burgos;170215;C.S. HUERTA DE REY;C.L. CORUÑA DEL CONDE
1705;Gerencia de Palencia;170514;C.S. SALDAÑA;C.L. VILLANUEVA DEL MONTE
1702;Gerencia de Burgos;170216;C.S. LERMA;C.L. AVELLANOSA DE MUÑO
1703;Gerencia de León;170317;C.S. JOSE AGUADO II;C.L. SECOS DE PORMA
1702;Gerencia de Burgos;170216;C.S. LERMA;C.L. BRIONGOS DE CERVERA
1705;Gerencia de Palencia;170516;C.S. TORQUEMADA;C.L. QUINTANA DEL PUENTE
1702;Gerencia de Burgos;170216;C.S. LERMA;C.L. CABAÑES DE ESGUEVA
1703;Gerencia de León;170317;C.S. JOSE AGUADO II;C.L. VILLAFRUELA DEL PORMA
1702;Gerencia de Burgos;170216;C.S. LERMA;C.L. IGLESIARRUBIA
1705;Gerencia de Palencia;170517;C.S. VENTA DE BAÑOS;C.L. CEVICO DE LA TORRE
1702;Gerencia de Burgos;170216;C.S. LERMA;C.L. QUINTANILLA DEL COCO
1703;Gerencia de León;170317;C.S. JOSE AGUADO II;C.S. JOSE AGUADO II
1702;Gerencia de Burgos;170216;C.S. LERMA;C.L. RETUERTA
1705;Gerencia de Palencia;170518;C.S. VILLARRAMIEL;C.L. CASTROMOCHO
1702;Gerencia de Burgos;170216;C.S. LERMA;C.L. SOLARANA
1705;Gerencia de Palencia;170519;C.S. VILLADA;C.L. SAN NICOLAS REAL CAMINO
1702;Gerencia de Burgos;170216;C.S. LERMA;C.L. TORRECILLA DEL MONTE
1703;Gerencia de León;170318;C.S. MANSILLA MULAS;C.L. PALAZUELO DE ESLONZA
1702;Gerencia de Burgos;170219;C.S. MEDINA DE POMAR;C.L. NOFUENTES
1706;Gerencia de Salamanca;170601;C.S. ALBA DE TORMES;C.L. ALDEASECA DE ALBA
