NOMBRE GERENCIA;CÓDIGO ZONA;NOMBRE ZONA;NOMBRE CENTRO SALUD;MUNICIPIO;PAC
G.A.S. SEGOVIA;170704;FUENTESAUCO DE FUENTIDUEÑA;C.S. FUENTESAUCO;ALDEASOÑA;P.A.C. Fuentesauco
G.A.P. SALAMANCA;170623;PERIURBANA SUR;C.S. PERIURBANO SUR;ALDEATEJADA;P.A.C. Periurbano Sur
G.A.P. SALAMANCA;170623;PERIURBANA SUR;C.S. PERIURBANO SUR;ALDEAVIEJA DE TORMES;P.A.C. Periurbano Sur
G.A.P. SALAMANCA;170613;GUIJUELO;C.S. GUIJUELO;ALDEAVIEJA DE TORMES;P.A.C. Guijuelo
G.A.P. BURGOS;170202;ARANDA DE DUERO RURAL;C.S. ARANDA RURAL;ALDEHORNO;P.A.C. Aranda
G.A.S. AVILA;170108;BARCO DE AVILA EL;C.S. BARCO DE AVILA;ALDEHUELA (LA);P.A.C. Barco de Ávila
G.A.P. SALAMANCA;170619;MATILLA DE LOS CAÑOS;C.S. MATILLA CAÑOS;ALDEHUELA DE LA BOVEDA;P.A.C. Matilla Caños
G.A.P. SALAMANCA;170630;TAMAMES;C.S. TAMAMES;ALDEHUELA DE YELTES;P.A.C. Tamames
G.A.S. SEGOVIA;170706;NAVA DE LA ASUNCION;C.S. NAVA DE LA ASUNCION;ALDEHUELA DEL CODONAL;P.A.C. Nava De La Asunción
G.A.S. SORIA;170812;SAN PEDRO MANRIQUE;C.S. S.PEDRO MANRIQUE;ALDEHUELAS (LAS);P.A.C. S.Pedro Manrique
G.A.S. SEGOVIA;170712;SEPULVEDA;C.S. SEPULVEDA;ALDEONTE;P.A.C. Sepúlveda
G.A.S. SORIA;170802;ALMAZAN;C.S. ALMAZAN;ALENTISQUE;P.A.C. Almazán
G.A.S. ZAMORA;171115;SAYAGO;C.S. BERMILLO DE SAYAGO;ALFARAZ DE SAYAGO;P.A.C. Bermillo De Sayago
G.A.P. BURGOS;170232;VALLE DE VALDEBEZANA;C.S. VALLE VALDEBEZANA;ALFOZ DE BRICIA;P.A.C. Valle Valdebezana
G.A.P. BURGOS;170208;BURGOS RURAL NORTE;C.S. BURGOS RURAL NORTE;ALFOZ DE QUINTANADUEÑAS;P.A.C. Burgos Rural Norte Sur
G.A.P. BURGOS;170232;VALLE DE VALDEBEZANA;C.S. VALLE VALDEBEZANA;ALFOZ DE SANTA GADEA;P.A.C. Valle Valdebezana
G.A.P. LEON;170327;VALENCIA DE DON JUAN;C.S. VALENCIA DE D. JUAN;ALGADEFE;P.A.C. Valencia De D. Juan
G.A.S. ZAMORA;171121;ZAMORA NORTE;C.S. ZAMORA NORTE;ALGODRE;P.A.C. Zamora Integrado
G.A.P. LEON;170309;BAÑEZA II LA;C.S. BAÑEZA II;ALIJA DEL INFANTADO;P.A.C. La Bañeza
G.A.S. SORIA;170811;SORIA RURAL;C.S. SORIA RURAL;ALMAJANO;P.A.C. Soria Rural Norte Y Sur
G.A.S. SORIA;170803;ARCOS DE JALON;C.S. ARCOS DE JALON;ALMALUEZ;P.A.C. Arcos De Jalón
G.A.P. LEON;170306;CISTIERNA;C.S. CISTIERNA;ALMANZA;P.A.C. Cistierna
G.A.S. ZAMORA;171121;ZAMORA NORTE;C.S. ZAMORA NORTE;ALMARAZ DE DUERO;P.A.C. Zamora Integrado
G.A.S. SORIA;170811;SORIA RURAL;C.S. SORIA RURAL;ALMARZA;P.A.C. Soria Rural Norte Y Sur
G.A.S. SORIA;170802;ALMAZAN;C.S. ALMAZAN;ALMAZAN;P.A.C. Almazán
G.A.S. SORIA;170807;GOMARA;C.S. GOMARA;ALMAZUL;P.A.C. Gómara
G.A.S. ZAMORA;171115;SAYAGO;C.S. BERMILLO DE SAYAGO;ALMEIDA DE SAYAGO;P.A.C. Bermillo De Sayago
G.A.S. SORIA;170807;GOMARA;C.S. GOMARA;ALMENAR DE SORIA;P.A.C. Gómara
G.A.P. VALLADOLID ESTE;171020;OLMEDO;C.S. OLMEDO;ALMENARA DE ADAJA;P.A.C. Olmedo
G.A.P. SALAMANCA;170622;PERIURBANA NORTE;C.S. PERIURBANA NORTE;ALMENARA DE TORMES;P.A.C. Periurbana Norte
G.A.P. SALAMANCA;170634;VITIGUDINO;C.S. VITIGUDINO;ALMENDRA;P.A.C. Vitigudino
G.A.S. SORIA;170802;ALMAZAN;C.S. ALMAZAN;ALPANSEQUE;P.A.C. Almazán
G.A.P. BURGOS;170221;MIRANDA ESTE;C.S. MIRANDA ESTE;ALTABLE;P.A.C. Miranda
G.A.P. BURGOS;170229;SEDANO;C.S. SEDANO;ALTOS (LOS);P.A.C. Sedano
G.A.S. AVILA;170120;MUÑANA;C.S. MUÑANA;AMAVIDA;P.A.C. Muñana
G.A.S. PALENCIA;170505;FROMISTA;C.S. FROMISTA;AMAYUELAS DE ARRIBA;P.A.C. Frómista
G.A.P. BURGOS;170221;MIRANDA ESTE;C.S. MIRANDA ESTE;AMEYUGO;P.A.C. Miranda
G.A.S. PALENCIA;170518;VILLARRAMIEL;C.S. VILLARRAMIEL;AMPUDIA;P.A.C. Villarramiel
G.A.S. PALENCIA;170505;FROMISTA;C.S. FROMISTA;AMUSCO;P.A.C. Frómista
G.A.P. VALLADOLID ESTE;171002;ESGUEVILLAS ESGUEVA;C.S. ESGUEVILLAS;AMUSQUILLO;P.A.C. Esguevillas
G.A.S. SEGOVIA;170711;SEGOVIA RURAL;C.S. SEGOVIA RURAL;ANAYA;P.A.C. Segovia Rural
G.A.P. SALAMANCA;170601;ALBA DE TORMES;C.S. ALBA DE TORMES;ANAYA DE ALBA;P.A.C. Alba De Tormes
G.A.S. ZAMORA;171121;ZAMORA NORTE;C.S. ZAMORA NORTE;ANDAVIAS;P.A.C. Zamora Integrado
G.A.S. SEGOVIA;170711;SEGOVIA RURAL;C.S. SEGOVIA RURAL;AÑE;P.A.C. Segovia Rural
G.A.P. BURGOS;170225;ROA DE DUERO;C.S. ROA DE DUERO;ANGUIX;P.A.C. Roa De Duero
G.A.P. SALAMANCA;170604;CALZADA DE VALDUNCIEL;C.S. CALZADA VALDUNCIEL;AÑOVER DE TORMES;P.A.C. Calzada Valdunciel
G.A.P. LEON;170309;BAÑEZA II LA;C.S. BAÑEZA II;ANTIGUA (LA);P.A.C. La Bañeza
G.A.S. PALENCIA;170502;BALTANAS;C.S. BALTANAS;ANTIGÜEDAD;P.A.C. Baltanás
G.A.P. SALAMANCA;170633;VILLORIA;C.S. VILLORIA;ARABAYONA DE MOGICA;P.A.C. Villoria
G.A.S. SEGOVIA;170705;SIERRA LA;C.S. NAVAFRIA;ARAHUETES;P.A.C. Navafría
G.A.S. SORIA;170811;SORIA RURAL;C.S. SORIA RURAL;ARANCON;P.A.C. Soria Rural Norte Y Sur
G.A.P. BURGOS;170202;ARANDA DE DUERO RURAL;C.S. ARANDA RURAL;ARANDA DE DUERO;P.A.C. Aranda
G.A.P. BURGOS;170203;ARANDA SUR;C.S. ARANDA SUR;ARANDA DE DUERO;P.A.C. Aranda
G.A.P. BURGOS;170201;ARANDA NORTE;C.S. ARANDA NORTE;ARANDA DE DUERO;P.A.C. Aranda
G.A.P. SALAMANCA;170623;PERIURBANA SUR;C.S. PERIURBANO SUR;ARAPILES;P.A.C. Periurbano Sur
G.A.P. BURGOS;170215;HUERTA DEL REY;C.S. HUERTA DE REY;ARAUZO DE MIEL;P.A.C. Huerta De Rey
G.A.P. BURGOS;170215;HUERTA DEL REY;C.S. HUERTA DE REY;ARAUZO DE SALCE;P.A.C. Huerta De Rey
G.A.P. BURGOS;170215;HUERTA DEL REY;C.S. HUERTA DE REY;ARAUZO DE TORRE;P.A.C. Huerta De Rey
G.A.P. SALAMANCA;170621;PEDROSILLO EL RALO;C.S. PEDROSILLO EL RALO;ARCEDIANO;P.A.C. Pedrosillo El Ralo
G.A.S. ZAMORA;171122;ZAMORA SUR;C.S. ZAMORA SUR;ARCENILLAS;P.A.C. Zamora Integrado
G.A.P. SALAMANCA;170604;CALZADA DE VALDUNCIEL;C.S. CALZADA VALDUNCIEL;ARCO (EL);P.A.C. Calzada Valdunciel
G.A.S. PALENCIA;170503;CARRION DE LOS CONDES;C.S. CARRION DE LOS CONDES;ARCONADA;P.A.C. Carrión De Los Condes
G.A.S. SEGOVIA;170705;SIERRA LA;C.S. NAVAFRIA;ARCONES;P.A.C. Navafría
G.A.P. BURGOS;170209;BURGOS RURAL SUR;C.S. BURGOS RURAL SUR;ARCOS;P.A.C. Burgos Rural Norte Sur
G.A.S. SORIA;170803;ARCOS DE JALON;C.S. ARCOS DE JALON;ARCOS DE JALON;P.A.C. Arcos De Jalón
G.A.S. ZAMORA;171105;BENAVENTE SUR;C.S. BENAVENTE SUR;ARCOS DE LA POLVOROSA;P.A.C. Benavente
G.A.P. LEON;170301;ARMUNIA;C.S. ARMUNIA;ARDON;P.A.C. Armunia
G.A.S. AVILA;170101;ARENAS DE SAN PEDRO;C.S. ARENAS SAN PEDRO;ARENAL (EL);P.A.C. Arenas San Pedro
G.A.S. AVILA;170101;ARENAS DE SAN PEDRO;C.S. ARENAS SAN PEDRO;ARENAS DE SAN PEDRO;P.A.C. Arenas San Pedro
G.A.S. SORIA;170804;BERLANGA DE DUERO;C.S. BERLANGA DE DUERO;ARENILLAS;P.A.C. Berlanga De Duero
G.A.P. BURGOS;170220;MELGAR DE FERNAMENTAL;C.S. MELGAR FERNAMENTAL;ARENILLAS DE RIOPISUERGA;P.A.C. Melgar Fernamental
G.A.S. AVILA;170117;PIEDRAHITA;C.S. PIEDRAHITA;AREVALILLO;P.A.C. Piedrahita
G.A.S. SEGOVIA;170701;CANTALEJO;C.S. CANTALEJO;AREVALILLO DE CEGA;P.A.C. Cantalejo
G.A.S. AVILA;170102;AREVALO;C.S. AREVALO;AREVALO;P.A.C. Arévalo
G.A.S. SORIA;170811;SORIA RURAL;C.S. SORIA RURAL;AREVALO DE LA SIERRA;P.A.C. Soria Rural Norte Y Sur
G.A.S. ZAMORA;171115;SAYAGO;C.S. BERMILLO DE SAYAGO;ARGAÑIN;P.A.C. Bermillo De Sayago
G.A.S. EL BIERZO;170402;CACABELOS;C.S. CACABELOS;ARGANZA;P.A.C. Cacabelos
G.A.S. ZAMORA;171113;GUAREÑA;C.S. LA GUAREÑA;ARGUJILLO;P.A.C. La Guareña
G.A.P. BURGOS;170232;VALLE DE VALDEBEZANA;C.S. VALLE VALDEBEZANA;ARIJA;P.A.C. Valle Valdebezana
G.A.P. BURGOS;170208;BURGOS RURAL NORTE;C.S. BURGOS RURAL NORTE;ARLANZON;P.A.C. Burgos Rural Norte Sur
G.A.P. SALAMANCA;170601;ALBA DE TORMES;C.S. ALBA DE TORMES;ARMENTEROS;P.A.C. Alba De Tormes
